lr;epoch;iteration;global_iteration
5.115108446221039e-06;5;595;8100
5.041083721963136e-06;5;695;8200
4.967058997705234e-06;5;795;8300
4.893034273447332e-06;5;895;8400
4.819009549189429e-06;5;995;8500
4.744984824931528e-06;5;1095;8600
4.670960100673625e-06;5;1195;8700
4.596935376415723e-06;5;1295;8800
4.5229106521578205e-06;5;1395;8900
4.448885927899919e-06;5;1495;9000
4.3748612036420165e-06;6;94;9100
4.3008364793841145e-06;6;194;9200
4.2268117551262125e-06;6;294;9300
4.1527870308683105e-06;6;394;9400
4.0787623066104084e-06;6;494;9500
4.004737582352506e-06;6;594;9600
3.9307128580946044e-06;6;694;9700
3.856688133836702e-06;6;794;9800
3.7826634095787996e-06;6;894;9900
3.708638685320897e-06;6;994;10000
3.6346139610629956e-06;6;1094;10100
3.560589236805093e-06;6;1194;10200
3.4865645125471907e-06;6;1294;10300
3.412539788289289e-06;6;1394;10400
3.3385150640313867e-06;6;1494;10500
3.2644903397734847e-06;7;93;10600
3.1904656155155823e-06;7;193;10700
3.1164408912576803e-06;7;293;10800
3.0424161669997783e-06;7;393;10900
2.968391442741876e-06;7;493;11000
2.8943667184839742e-06;7;593;11100
2.820341994226072e-06;7;693;11200
2.7463172699681694e-06;7;793;11300
2.6722925457102674e-06;7;893;11400
2.5982678214523654e-06;7;993;11500
2.524243097194463e-06;7;1093;11600
2.450218372936561e-06;7;1193;11700
2.376193648678659e-06;7;1293;11800
2.302168924420757e-06;7;1393;11900
2.2281442001628545e-06;7;1493;12000
2.1541194759049525e-06;8;92;12100
2.08009475164705e-06;8;192;12200
2.006070027389148e-06;8;292;12300
1.932045303131246e-06;8;392;12400
1.8580205788733438e-06;8;492;12500
1.7839958546154418e-06;8;592;12600
1.7099711303575394e-06;8;692;12700
1.6359464060996374e-06;8;792;12800
1.5619216818417352e-06;8;892;12900
1.4878969575838332e-06;8;992;13000
1.4138722333259312e-06;8;1092;13100
1.3398475090680287e-06;8;1192;13200
1.2658227848101267e-06;8;1292;13300
1.1917980605522245e-06;8;1392;13400
1.1177733362943225e-06;8;1492;13500
1.0437486120364203e-06;9;91;13600
9.69723887778518e-07;9;191;13700
8.95699163520616e-07;9;291;13800
8.216744392627138e-07;9;391;13900
7.476497150048116e-07;9;491;14000
6.736249907469094e-07;9;591;14100
5.996002664890073e-07;9;691;14200
5.255755422311052e-07;9;791;14300
4.515508179732031e-07;9;891;14400
3.7752609371530094e-07;9;991;14500
3.035013694573988e-07;9;1091;14600
2.2947664519949663e-07;9;1191;14700
1.554519209415945e-07;9;1291;14800
8.142719668369236e-08;9;1391;14900
7.402472425790215e-09;9;1491;15000
3.3311125916055965e-08;10;90;15100
7.032348804500704e-08;10;190;15200
1.0733585017395812e-07;10;290;15300
1.443482123029092e-07;10;390;15400
1.8136057443186025e-07;10;490;15500
2.1837293656081133e-07;10;590;15600
2.5538529868976244e-07;10;690;15700
2.9239766081871344e-07;10;790;15800
3.2941002294766455e-07;10;890;15900
3.664223850766156e-07;10;990;16000
4.034347472055667e-07;10;1090;16100
4.4044710933451777e-07;10;1190;16200
4.774594714634688e-07;10;1290;16300
5.144718335924199e-07;10;1390;16400
5.514841957213709e-07;10;1490;16500
5.88496557850322e-07;11;89;16600
6.255089199792732e-07;11;189;16700
6.625212821082242e-07;11;289;16800
6.995336442371753e-07;11;389;16900
7.365460063661263e-07;11;489;17000
7.735583684950775e-07;11;589;17100
